"EPC","Timestamp","Antenna","TxPower(mW)","Channel Index","Frequency(MHz)","RSS(dBm)","Phase Angle(Radian)","Phase(Degree)","Doppler Shift(Hz)","Velocity",""
"0001","1603526210043541","1","32","8","922.375","-46","1.87145656122048","107.2265625","0","0",""
"0002","1603526210048001","1","32","8","922.375","-63.5","5.3627968344482","307.265625","0","-¡Þ",""
"0002","1603526210056381","1","32","8","922.375","-63.5","5.1603113704473","295.6640625","0","-0.6304347285669",""
"0001","1603526210060653","1","32","8","922.375","-46","1.86532063806894","106.875","0","-0.00935555241296312",""
"0001","1603526210096262","1","32","8","922.375","-46","1.87759248437202","107.578125","0","0.00899167136907102",""
"0002","1603526210100849","1","32","8","922.375","-64","5.25235021772044","300.9375","0","0.0540025005253075",""
"0001","1603526210109155","1","32","8","922.375","-46","1.86532063806894","106.875","0","-0.0248339739223804",""
"0002","1603526210113667","1","32","8","922.375","-63.5","5.15417544729575","295.3125","0","-0.199834249200343",""
"0001","1603526210149047","1","32","8","922.375","-46","1.86532063806894","106.875","0","0",""
"0002","1603526210153388","1","32","8","922.375","-63.5","5.20326283250809","298.125","0","0.0322433398737444",""
"0001","1603526210161850","1","32","8","922.375","-46","1.87759248437202","107.578125","0","0.0250085468859838",""
"0002","1603526210166522","1","32","8","922.375","-64","5.20326283250809","298.125","0","0",""
"0002","1603526210201818","1","32","8","922.375","-63.5","5.13576767784113","294.2578125","0","-0.0498927454044899",""
"0001","1603526210206023","1","32","8","922.375","-46","1.87145656122048","107.2265625","0","-0.00362420965047936",""
"0001","1603526210214469","1","32","8","922.375","-46","1.87759248437202","107.578125","0","0.0189547966955511",""
"0002","1603526210219027","1","32","8","922.375","-63.5","5.10508806208341","292.5","0","-0.0465140952090839",""
"0001","1603526210254456","1","32","8","922.375","-46","1.89600025382665","108.6328125","0","0.0120108194831289",""
"0002","1603526210258996","1","32","8","922.375","-63.5","5.16644729359884","296.015625","0","0.0400540951463947",""
"0001","1603526210267451","1","32","8","922.375","-46","1.90827210012974","109.3359375","0","0.0246390477707772",""
"0002","1603526210272107","1","32","8","922.375","-63.5","5.30143760293278","303.75","0","0.268631582914633",""
"0001","1603526210307895","1","32","8","922.375","-46","1.93281579273591","110.7421875","0","0.0158334697745648",""
"0002","1603526210312239","1","32","8","922.375","-64","5.30143760293278","303.75","0","0",""
"0001","1603526210320579","1","32","8","922.375","-46","1.92667986958437","110.390625","0","-0.0126215872666844",""
"0002","1603526210324794","1","32","8","922.375","-64","5.27689391032661","302.34375","0","-0.0510050857477101",""
"0002","1603526210360242","1","32","8","922.375","-64","5.39961237335746","309.375","0","0.0903251031881206",""
"0001","1603526210364488","1","32","8","922.375","-46","1.95735948534208","112.1484375","0","0.0182299998736734",""
"0002","1603526210372901","1","32","8","922.375","-64.5","5.39961237335746","309.375","0","0",""
"0001","1603526210377070","1","32","8","922.375","-46","1.95122356219054","111.796875","0","-0.0127239081935006",""
"0001","1603526210412469","1","32","8","922.375","-46","1.95735948534208","112.1484375","0","0.00452250664964053",""
"0002","1603526210416668","1","32","8","922.375","-64","5.44256383541826","311.8359375","0","0.0256048047669334",""
"0001","1603526210425009","1","32","8","922.375","-46","1.96349540849362","112.5","0","0.0127665241539573",""
"0002","1603526210429191","1","32","8","922.375","-64","5.42415606596363","310.78125","0","-0.0383515642155933",""
"0001","1603526210464696","1","32","8","922.375","-46","1.95122356219054","111.796875","0","-0.00806774071563106",""
"0002","1603526210469367","1","32","8","922.375","-63.5","5.45483568172134","312.5390625","0","0.0199238616201992",""
"0001","1603526210477763","1","32","8","922.375","-46","1.96963133164516","112.8515625","0","0.0367549275787767",""
"0002","1603526210482339","1","32","8","922.375","-63.5","5.48551529747905","314.296875","0","0.0617068350642249",""
"0001","1603526210517701","1","32","8","922.375","-46","1.94508763903899","111.4453125","0","-0.0160340741039236",""
"0002","1603526210521858","1","32","8","922.375","-62.5","5.52846675953985","316.7578125","0","0.0283571317653376",""
"0001","1603526210530393","1","32","8","922.375","-46","1.95735948534208","112.1484375","0","0.025227263298239",""
"0002","1603526210535080","1","32","8","922.375","-63","5.56528229844911","318.8671875","0","0.0726481074983928",""
"0002","1603526210570702","1","32","8","922.375","-63","5.48551529747905","314.296875","0","-0.0584245344893079",""
"0001","1603526210575076","1","32","8","922.375","-46","1.94508763903899","111.4453125","0","-0.00716568775107423",""
"0001","1603526210583455","1","32","8","922.375","-46","1.95122356219054","111.796875","0","0.0191063626793919",""
"0002","1603526210587983","1","32","8","922.375","-62.5","5.47324345117597","313.59375","0","-0.018528119077672",""
"0001","1603526210623738","1","32","8","922.375","-46","1.95122356219054","111.796875","0","0",""
"0002","1603526210628521","1","32","8","922.375","-62.5","5.47324345117597","313.59375","0","0",""
"0001","1603526210637774","1","32","8","922.375","-46","1.94508763903899","111.4453125","0","-0.0114058287895857",""
"0002","1603526210642004","1","32","8","922.375","-62.5","5.47324345117597","313.59375","0","0",""
"0001","1603526210683485","1","32","8","922.375","-46","1.93281579273591","110.7421875","0","-0.00700453776511671",""
"0002","1603526210687768","1","32","8","922.375","-62.5","5.62050560681299","322.03125","0","0.0839571084121799",""
"0001","1603526210696213","1","32","8","922.375","-46.5","1.92667986958437","110.390625","0","-0.0125779551296846",""
"0002","1603526210700910","1","32","8","922.375","-62.5","5.66345706887379","324.4921875","0","0.0852720659134359",""
"0001","1603526210736322","1","32","8","922.375","-46.5","1.92667986958437","110.390625","0","0",""
"0002","1603526210740551","1","32","8","922.375","-62","5.71254445408613","327.3046875","0","0.0323084105629273",""
"0001","1603526210748776","1","32","8","922.375","-46.5","1.95735948534208","112.1484375","0","0.0642734113098703",""
"0002","1603526210753030","1","32","8","922.375","-62","5.70027260778304","326.6015625","0","-0.025657859266067",""
"0002","1603526210788417","1","32","8","922.375","-62.5","5.83526291711698","334.3359375","0","0.0995288858505595",""
"0001","1603526210792460","1","32","8","922.375","-46.5","2.00031094740288","114.609375","0","0.0256534541304454",""
"0002","1603526210800980","1","32","8","922.375","-62.5","5.92730176439012","339.609375","0","0.191147273211763",""
