"EPC","Timestamp","Antenna","TxPower(mW)","Channel Index","Frequency(MHz)","RSS(dBm)","Phase Angle(Radian)","Phase(Degree)","Doppler Shift(Hz)","Velocity",""
"0001","1603527374943287","1","32","8","922.375","-41.5","5.55914637529756","318.515625","0","-¡Þ",""
"0002","1603527374947800","1","32","8","922.375","-58.5","2.89615572752809","165.9375","0","0",""
"0002","1603527374956122","1","32","8","922.375","-59","2.96365088219506","169.8046875","0","0.211609509949156",""
"0001","1603527374960413","1","32","8","922.375","-41.5","5.56528229844911","318.8671875","0","0.00934790452473578",""
"0002","1603527375001685","1","32","8","922.375","-59","2.95137903589197","169.1015625","0","-0.00702729025264469",""
"0001","1603527375005845","1","32","8","922.375","-42","5.54687452899448","317.8125","0","-0.0105713294301786",""
"0001","1603527375014236","1","32","8","922.375","-41.5","5.54687452899448","317.8125","0","0",""
"0002","1603527375018780","1","32","8","922.375","-59","2.94524311274043","168.75","0","-0.00936485597488301",""
"0002","1603527375060152","1","32","8","922.375","-59","2.98205865164969","170.859375","0","0.0232174726226373",""
"0001","1603527375064356","1","32","8","922.375","-42","5.53460268269139","317.109375","0","-0.00638835646012071",""
"0001","1603527375072908","1","32","8","922.375","-42","5.54073860584294","317.4609375","0","0.0187198565120001",""
"0002","1603527375077453","1","32","8","922.375","-59","2.9268353432858","167.6953125","0","-0.0832801523620383",""
"0001","1603527375118896","1","32","8","922.375","-41.5","5.53460268269139","317.109375","0","-0.00348117362987355",""
"0002","1603527375122998","1","32","8","922.375","-58.5","2.98205865164969","170.859375","0","0.0316353038975875",""
"0001","1603527375131195","1","32","8","922.375","-41.5","5.53460268269139","317.109375","0","0",""
"0002","1603527375135440","1","32","8","922.375","-59","3.00046642110431","171.9140625","0","0.0386012408513",""
"0001","1603527375176888","1","32","8","922.375","-42","5.54073860584294","317.4609375","0","0.00350364854333541",""
"0002","1603527375181151","1","32","8","922.375","-58.5","2.99433049795277","171.5625","0","-0.00350226888255836",""
"0001","1603527375189830","1","32","8","922.375","-41.5","5.52846675953985","316.7578125","0","-0.0247399494499498",""
"0002","1603527375194274","1","32","8","922.375","-58.5","2.93297126643735","168.046875","0","-0.121993608847539",""
"0002","1603527375235741","1","32","8","922.375","-59","2.83479649601267","162.421875","0","-0.0617714183869101",""
"0001","1603527375239934","1","32","8","922.375","-41.5","5.51619491323677","316.0546875","0","-0.00639039649092388",""
"0001","1603527375248490","1","32","8","922.375","-41.5","5.52233083638831","316.40625","0","0.0187111048259262",""
"0002","1603527375252875","1","32","8","922.375","-59","2.87161203492192","164.53125","0","0.0560612394854529",""
"0002","1603527375294235","1","32","8","922.375","-58.5","2.90842757383118","166.640625","0","0.0232242088332628",""
"0001","1603527375298453","1","32","8","922.375","-41.5","5.51619491323677","316.0546875","0","-0.00320421537719162",""
"0001","1603527375306862","1","32","8","922.375","-41.5","5.52846675953985","316.7578125","0","0.0380763974053098",""
"0002","1603527375311493","1","32","8","922.375","-59","2.93297126643735","168.046875","0","0.037105623569504",""
"0001","1603527375352744","1","32","8","922.375","-41.5","5.51619491323677","316.0546875","0","-0.00697843219086461",""
"0002","1603527375357447","1","32","8","922.375","-58.5","2.9697868053466","170.15625","0","0.0209024954812149",""
"0001","1603527375365979","1","32","8","922.375","-41.5","5.51005899008522","315.703125","0","-0.0120961248878447",""
"0002","1603527375369982","1","32","8","922.375","-58.5","2.99433049795277","171.5625","0","0.0510864660201436",""
"0001","1603527375410997","1","32","8","922.375","-42","5.50392306693368","315.3515625","0","-0.00355618225799958",""
"0002","1603527375415626","1","32","8","922.375","-59","2.95137903589197","169.1015625","0","-0.0245518685968446",""
"0001","1603527375424140","1","32","8","922.375","-42","5.51005899008522","315.703125","0","0.0121807968417123",""
"0002","1603527375428413","1","32","8","922.375","-59.5","2.90842757383118","166.640625","0","-0.0876394377285035",""
"0001","1603527375469634","1","32","8","922.375","-41.5","5.51005899008522","315.703125","0","0",""
"0002","1603527375474054","1","32","8","922.375","-59.5","2.90842757383118","166.640625","0","0",""
"0002","1603527375482452","1","32","8","922.375","-59.5","2.93910718958889","168.3984375","0","0.0953156780725321",""
"0001","1603527375486730","1","32","8","922.375","-41.5","5.53460268269139","317.109375","0","0.0374572327774041",""
"0002","1603527375527890","1","32","8","922.375","-59","2.90842757383118","166.640625","0","-0.0176165558442961",""
"0001","1603527375532085","1","32","8","922.375","-42","5.52233083638831","316.40625","0","-0.00705951771097453",""
"0002","1603527375540355","1","32","8","922.375","-58.5","2.96365088219506","169.8046875","0","0.115590045408394",""
"0001","1603527375544503","1","32","8","922.375","-42","5.53460268269139","317.109375","0","0.0257838964230351",""
"0001","1603527375585741","1","32","8","922.375","-41.5","5.53460268269139","317.109375","0","0",""
"0002","1603527375590029","1","32","8","922.375","-59","2.94524311274043","168.75","0","-0.00966857186197759",""
"0001","1603527375598383","1","32","8","922.375","-41.5","5.52846675953985","316.7578125","0","-0.0126635194502947",""
"0002","1603527375602627","1","32","8","922.375","-59","2.89001980437655","165.5859375","0","-0.114369734562282",""
"0001","1603527375644129","1","32","8","922.375","-42","5.53460268269139","317.109375","0","0.00349958931689383",""
"0002","1603527375648494","1","32","8","922.375","-59","2.93910718958889","168.3984375","0","0.0279228574601565",""
"0001","1603527375657074","1","32","8","922.375","-42","5.53460268269139","317.109375","0","0",""
"0002","1603527375661438","1","32","8","922.375","-59","3.01887419055894","172.96875","0","0.160784824442068",""
"0001","1603527375703206","1","32","8","922.375","-41.5","5.52846675953985","316.7578125","0","-0.00347030722471657",""
